LocationID,Borough,Zone,service_zone,avg_fare,avg_trip_distance,total_trips
1,EWR,Newark Airport,EWR,94.85000000000001,2.433333333333333,3.0
2,Queens,Jamaica Bay,Boro Zone,0.0,0.0,0.0
3,Bronx,Allerton/Pelham Gardens,Boro Zone,0.0,0.0,0.0
4,Manhattan,Alphabet City,Yellow Zone,13.774333333333335,2.42,60.0
5,Staten Island,Arden Heights,Boro Zone,0.0,0.0,0.0
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,0.0,0.0,0.0
7,Queens,Astoria,Boro Zone,13.842432432432432,3.0613513513513513,37.0
8,Queens,Astoria Park,Boro Zone,0.0,0.0,0.0
9,Queens,Auburndale,Boro Zone,0.0,0.0,0.0
10,Queens,Baisley Park,Boro Zone,63.06,15.7,1.0
11,Brooklyn,Bath Beach,Boro Zone,0.0,0.0,0.0
12,Manhattan,Battery Park,Yellow Zone,21.66111111111111,4.587777777777777,9.0
13,Manhattan,Battery Park City,Yellow Zone,20.520528634361234,4.3476211453744495,227.0
14,Brooklyn,Bay Ridge,Boro Zone,5.3,0.38,2.0
15,Queens,Bay Terrace/Fort Totten,Boro Zone,0.0,0.0,0.0
16,Queens,Bayside,Boro Zone,0.0,0.0,0.0
17,Brooklyn,Bedford,Boro Zone,14.886666666666665,3.1799999999999997,6.0
18,Bronx,Bedford Park,Boro Zone,0.0,0.0,0.0
19,Queens,Bellerose,Boro Zone,0.0,0.0,0.0
20,Bronx,Belmont,Boro Zone,0.0,0.0,0.0
21,Brooklyn,Bensonhurst East,Boro Zone,0.0,0.0,0.0
22,Brooklyn,Bensonhurst West,Boro Zone,0.0,0.0,0.0
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,0.0,0.0,0.0
24,Manhattan,Bloomingdale,Yellow Zone,13.545483870967743,2.1133870967741935,62.0
25,Brooklyn,Boerum Hill,Boro Zone,15.8016,3.222,25.0
26,Brooklyn,Borough Park,Boro Zone,0.0,0.0,0.0
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,0.0,0.0,0.0
28,Queens,Briarwood/Jamaica Hills,Boro Zone,30.794,6.042,5.0
29,Brooklyn,Brighton Beach,Boro Zone,11.55,2.1550000000000002,2.0
30,Queens,Broad Channel,Boro Zone,0.0,0.0,0.0
31,Bronx,Bronx Park,Boro Zone,27.3,8.5,1.0
32,Bronx,Bronxdale,Boro Zone,0.0,0.0,0.0
33,Brooklyn,Brooklyn Heights,Boro Zone,17.003888888888888,3.751666666666667,18.0
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0.0,0.0,0.0
35,Brooklyn,Brownsville,Boro Zone,0.0,0.0,0.0
36,Brooklyn,Bushwick North,Boro Zone,10.675,2.0,4.0
37,Brooklyn,Bushwick South,Boro Zone,29.650000000000002,7.583333333333333,6.0
38,Queens,Cambria Heights,Boro Zone,0.0,0.0,0.0
39,Brooklyn,Canarsie,Boro Zone,0.0,0.0,0.0
40,Brooklyn,Carroll Gardens,Boro Zone,15.223888888888887,3.266111111111111,18.0
